vegtype,auc_025_val,auc_100_val,prop_same,tss,tss_ppt_025,tss_ppt_100,tss_pptr_025,tss_pptr_100,prop_same_ppt_025,prop_same_ppt_100,prop_same_pptr_025,prop_same_pptr_100,prop_present_100,prop_present_obs,auc_ppt,auc_ptr
mch,0.84,0.81,0.4,0.52,0.32,0.2,0.48,0.52,0.25,0.16,0.37,0.4,0.11,0.11,0.8,0.79
mhw,0.59,0.6,0.41,0.5,0.14,0.05,0.22,0.27,0.16,0.11,0.21,0.24,0.16,0.16,0.72,0.72
smc,0.8,0.77,0.46,0.57,0.22,0.25,0.12,0.18,0.2,0.22,0.14,0.18,0.15,0.15,0.81,0.82
