vegtype,auc_100_val,auc_025_val,tss
mch,0.81 (0.01),0.84 (0.01),0.52 (0.11)
mhw,0.73 (0.01),0.7 (0.02),0.36 (0.1)
smc,0.75 (0.01),0.78 (0.01),0.51 (0.17)
