vegtype,auc_025_val,auc_100_val,prop_same,tss,tss_ppt_025,tss_ppt_100,tss_pptr_025,tss_pptr_100,prop_same_ppt_025,prop_same_ppt_100,prop_same_pptr_025,prop_same_pptr_100,prop_present_100,prop_present_obs,auc_ppt,auc_ptr,fold
mhw,0.69,0.71,0.32,0.38,0.34,0.16,0.14,0.4,0.29,0.19,0.17,0.34,0.16,0.16,0.72,0.78,336
smc,0.76,0.74,0.63,0.73,0.53,0.39,0.51,0.49,0.43,0.33,0.44,0.43,0.15,0.15,0.76,0.78,336
mch,0.82,0.81,0.39,0.51,0.12,0.11,0.23,0.22,0.13,0.12,0.2,0.18,0.11,0.11,0.77,0.77,337
mhw,0.72,0.73,0.24,0.27,0.28,0.13,0.26,0.44,0.23,0.15,0.23,0.37,0.16,0.16,0.74,0.8,337
smc,0.77,0.76,0.16,0.17,0.26,0.35,0.23,0.18,0.2,0.28,0.23,0.17,0.15,0.15,0.75,0.81,337
mch,0.84,0.82,0.43,0.6,0.33,0.18,0.49,0.29,0.23,0.14,0.38,0.21,0.11,0.11,0.79,0.79,338
mhw,0.68,0.72,0.28,0.32,0.24,0.18,0.24,0.45,0.19,0.17,0.22,0.37,0.16,0.16,0.74,0.77,338
smc,0.77,0.74,0.61,0.7,0.36,0.55,0.46,0.63,0.34,0.47,0.41,0.56,0.15,0.15,0.78,0.82,338
mch,0.84,0.82,0.47,0.59,0.33,0.2,0.44,0.27,0.25,0.17,0.34,0.23,0.11,0.11,0.79,0.8,339
mhw,0.71,0.73,0.28,0.33,0.16,0.11,0.15,0.29,0.19,0.16,0.17,0.29,0.16,0.16,0.74,0.77,339
smc,0.78,0.74,0.56,0.63,0.48,0.61,0.18,0.2,0.39,0.49,0.22,0.21,0.15,0.15,0.78,0.83,339
mch,0.83,0.81,0.35,0.46,0.17,0.11,0.31,0.3,0.15,0.12,0.25,0.23,0.11,0.11,0.78,0.78,340
mhw,0.72,0.73,0.27,0.32,0.25,0.11,0.19,0.46,0.22,0.15,0.2,0.38,0.16,0.16,0.75,0.79,340
smc,0.78,0.77,0.13,0.08,0.23,0.35,0.22,0.07,0.18,0.28,0.22,0.12,0.15,0.15,0.76,0.79,340
mch,0.81,0.78,0.33,0.46,0.1,0.14,0.18,0.02,0.11,0.14,0.16,0.06,0.11,0.11,0.75,0.77,341
mhw,0.71,0.72,0.32,0.35,0.22,0.16,0.27,0.56,0.21,0.16,0.26,0.47,0.16,0.16,0.75,0.78,341
smc,0.77,0.75,0.27,0.35,0.2,0.5,0.21,0.21,0.16,0.39,0.22,0.19,0.15,0.15,0.77,0.84,341
mch,0.83,0.8,0.24,0.32,0.32,0.07,0.35,0.07,0.25,0.09,0.3,0.09,0.11,0.11,0.79,0.77,342
mhw,0.73,0.73,0.25,0.32,0.14,0.15,0.28,0.4,0.16,0.16,0.24,0.35,0.16,0.16,0.76,0.77,342
smc,0.78,0.76,0.35,0.47,0.26,0.57,0.28,0.31,0.22,0.4,0.25,0.26,0.15,0.15,0.76,0.81,342
mch,0.83,0.81,0.47,0.59,0.19,0.12,0.36,0.33,0.16,0.12,0.28,0.26,0.11,0.11,0.78,0.77,343
mhw,0.7,0.73,0.27,0.31,0.33,0.16,0.21,0.46,0.27,0.17,0.21,0.37,0.16,0.16,0.74,0.79,343
smc,0.78,0.76,0.2,0.21,0.18,0.47,0.28,0.23,0.16,0.39,0.25,0.22,0.15,0.15,0.79,0.83,343
mch,0.84,0.81,0.43,0.59,0.31,0.17,0.5,0.27,0.22,0.13,0.4,0.21,0.11,0.11,0.79,0.79,344
mhw,0.68,0.72,0.28,0.33,0.21,0.18,0.2,0.38,0.18,0.17,0.19,0.31,0.16,0.16,0.74,0.77,344
smc,0.77,0.74,0.57,0.67,0.36,0.57,0.34,0.56,0.33,0.48,0.33,0.49,0.15,0.15,0.78,0.83,344
