vegtype,auc_025_val,auc_100_val,prop_same,tss,tss_ppt_025,tss_ppt_100,tss_pptr_025,tss_pptr_100,prop_same_ppt_025,prop_same_ppt_100,prop_same_pptr_025,prop_same_pptr_100,prop_present_100,prop_present_obs,auc_ppt,auc_ptr,fold
mch,0.84,0.81,0.46,0.6,0.37,0.2,0.5,0.3,0.25,0.16,0.4,0.23,0.11,0.11,0.78,0.77,1
mhw,0.68,0.72,0.29,0.32,0.28,0.16,0.28,0.51,0.22,0.16,0.25,0.42,0.16,0.16,0.75,0.78,1
smc,0.76,0.73,0.66,0.77,0.44,0.5,0.41,0.46,0.39,0.44,0.36,0.41,0.15,0.15,0.78,0.82,1
mch,0.83,0.78,0.06,-0.02,0.27,-0.01,0.4,0,0.2,0.05,0.32,0.06,0.11,0.11,0.79,0.77,2
mhw,0.71,0.74,0.34,0.42,0.46,0.23,0.06,0.27,0.33,0.2,0.12,0.25,0.16,0.16,0.74,0.75,2
smc,0.78,0.77,0.23,0.33,0.16,0.53,0.26,0.32,0.17,0.35,0.25,0.26,0.15,0.15,0.77,0.8,2
mch,0.84,0.81,0.23,0.31,0.14,0.11,0.15,0.13,0.13,0.11,0.16,0.14,0.11,0.11,0.77,0.74,3
mhw,0.69,0.73,0.47,0.58,0.47,0.27,0.18,0.32,0.32,0.22,0.18,0.26,0.16,0.16,0.73,0.78,3
smc,0.77,0.74,0.36,0.48,0.26,0.38,0.27,0.41,0.2,0.28,0.25,0.32,0.15,0.15,0.74,0.8,3
mch,0.83,0.81,0.43,0.55,0.11,0.1,0.4,0.28,0.13,0.12,0.37,0.23,0.11,0.11,0.76,0.76,4
mhw,0.7,0.71,0.35,0.42,0.1,0.12,0.28,0.56,0.13,0.15,0.26,0.48,0.16,0.16,0.77,0.79,4
smc,0.77,0.74,0.65,0.75,0.59,0.6,0.36,0.37,0.45,0.47,0.3,0.31,0.15,0.15,0.79,0.83,4
mch,0.83,0.8,0.26,0.33,0.29,0,0.34,0.01,0.22,0.06,0.29,0.07,0.11,0.11,0.79,0.78,5
mhw,0.73,0.74,0.26,0.34,0.17,0.13,0.24,0.37,0.2,0.17,0.22,0.34,0.16,0.16,0.75,0.79,5
smc,0.78,0.77,0.3,0.4,0.17,0.57,0.28,0.26,0.17,0.4,0.24,0.21,0.15,0.15,0.78,0.81,5
mch,0.82,0.81,0.52,0.64,0.29,0.2,0.35,0.24,0.23,0.17,0.3,0.22,0.11,0.11,0.78,0.75,6
mhw,0.7,0.73,0.25,0.28,0.28,0.03,0.26,0.44,0.22,0.1,0.23,0.35,0.16,0.16,0.72,0.8,6
smc,0.78,0.75,0.73,0.82,0.54,0.59,0.42,0.45,0.41,0.45,0.35,0.37,0.15,0.15,0.78,0.81,6
mch,0.84,0.82,0.4,0.54,0.14,0.1,0.29,0.21,0.16,0.12,0.27,0.2,0.11,0.11,0.76,0.77,7
mhw,0.71,0.75,0.25,0.32,0.25,0.17,0.01,0.23,0.21,0.17,0.09,0.21,0.16,0.16,0.76,0.75,7
smc,0.78,0.77,0.36,0.49,0.24,0.36,0.23,0.16,0.17,0.29,0.22,0.15,0.15,0.15,0.78,0.78,7
mch,0.84,0.82,0.35,0.45,0.03,0.05,0.31,0.27,0.09,0.1,0.29,0.23,0.11,0.11,0.74,0.77,8
mhw,0.69,0.71,0.35,0.42,0.18,0.06,0.32,0.5,0.18,0.14,0.28,0.42,0.16,0.16,0.74,0.79,8
smc,0.78,0.75,0.55,0.67,0.55,0.47,0.33,0.36,0.41,0.36,0.27,0.3,0.15,0.15,0.79,0.82,8
mch,0.83,0.8,0.24,0.34,0.2,0.07,0.33,0.16,0.18,0.09,0.27,0.14,0.11,0.11,0.78,0.79,9
mhw,0.71,0.73,0.21,0.21,0.17,0.15,0.14,0.39,0.17,0.16,0.15,0.32,0.16,0.16,0.76,0.77,9
smc,0.76,0.74,0.35,0.45,0.36,0.38,0.46,0.41,0.25,0.28,0.35,0.32,0.15,0.15,0.72,0.73,9
mch,0.84,0.82,0.45,0.59,0.34,0.18,0.35,0.2,0.24,0.16,0.27,0.18,0.11,0.11,0.8,0.79,10
mhw,0.69,0.72,0.41,0.49,0.28,0.16,0.14,0.34,0.26,0.18,0.17,0.29,0.16,0.16,0.72,0.79,10
smc,0.78,0.75,0.51,0.6,0.52,0.36,0.34,0.43,0.4,0.31,0.31,0.36,0.15,0.15,0.79,0.81,10
mch,0.83,0.81,0.42,0.55,0.06,0.08,0.34,0.25,0.1,0.1,0.31,0.21,0.11,0.11,0.77,0.77,11
mhw,0.69,0.71,0.32,0.35,0.29,0.14,0.27,0.59,0.24,0.14,0.26,0.51,0.16,0.16,0.73,0.78,11
smc,0.77,0.74,0.56,0.66,0.44,0.56,0.28,0.29,0.34,0.45,0.24,0.25,0.15,0.15,0.79,0.84,11
mch,0.83,0.81,0.42,0.54,0.1,0.1,0.38,0.27,0.12,0.12,0.35,0.22,0.11,0.11,0.77,0.77,12
mhw,0.7,0.71,0.35,0.41,0.13,0.11,0.3,0.59,0.14,0.12,0.28,0.5,0.16,0.16,0.75,0.79,12
smc,0.77,0.74,0.61,0.71,0.54,0.6,0.33,0.35,0.41,0.48,0.27,0.29,0.15,0.15,0.79,0.84,12
mch,0.83,0.82,0.36,0.5,0.12,0.1,0.3,0.32,0.14,0.13,0.25,0.23,0.11,0.11,0.76,0.77,13
mhw,0.73,0.73,0.25,0.28,0.26,0.08,0.29,0.45,0.23,0.15,0.25,0.37,0.16,0.16,0.76,0.79,13
smc,0.77,0.76,0.21,0.24,0.3,0.41,0.32,0.24,0.22,0.32,0.27,0.24,0.15,0.15,0.74,0.78,13
mch,0.83,0.81,0.54,0.66,0.18,0.12,0.4,0.29,0.16,0.13,0.36,0.26,0.11,0.11,0.78,0.78,14
mhw,0.69,0.71,0.38,0.45,0.14,0.05,0.36,0.55,0.18,0.13,0.3,0.46,0.16,0.16,0.75,0.79,14
smc,0.77,0.74,0.42,0.56,0.58,0.37,0.53,0.4,0.49,0.31,0.41,0.36,0.15,0.15,0.77,0.79,14
mch,0.83,0.81,0.48,0.61,0.22,0.14,0.29,0.19,0.19,0.14,0.27,0.2,0.11,0.11,0.8,0.78,15
mhw,0.7,0.72,0.26,0.29,0.35,0.14,0.18,0.49,0.29,0.17,0.2,0.4,0.16,0.16,0.71,0.78,15
smc,0.78,0.75,0.7,0.79,0.53,0.52,0.42,0.45,0.41,0.41,0.36,0.37,0.15,0.15,0.79,0.81,15
mch,0.86,0.82,0.28,0.38,0.2,0.09,0.34,0.2,0.16,0.1,0.28,0.17,0.11,0.11,0.78,0.78,16
mhw,0.71,0.73,0.26,0.27,0.09,0.17,0.19,0.46,0.11,0.15,0.19,0.36,0.16,0.16,0.77,0.79,16
smc,0.77,0.74,0.52,0.63,0.35,0.48,0.2,0.31,0.26,0.37,0.2,0.27,0.15,0.15,0.78,0.82,16
mch,0.82,0.8,0.32,0.4,0.29,0.08,0.37,0.16,0.23,0.1,0.31,0.15,0.11,0.11,0.78,0.78,17
mhw,0.72,0.75,0.24,0.27,0.23,0.13,0.12,0.33,0.23,0.15,0.16,0.3,0.16,0.16,0.74,0.79,17
smc,0.79,0.77,0.3,0.4,0.13,0.49,0.25,0.18,0.15,0.33,0.24,0.15,0.15,0.15,0.78,0.81,17
mch,0.83,0.81,0.57,0.69,0.29,0.21,0.48,0.38,0.24,0.19,0.43,0.34,0.11,0.11,0.8,0.76,18
mhw,0.69,0.71,0.47,0.57,0.09,0.12,0.33,0.51,0.15,0.16,0.28,0.42,0.16,0.16,0.76,0.78,18
smc,0.78,0.75,0.48,0.62,0.58,0.46,0.4,0.41,0.47,0.35,0.31,0.32,0.15,0.15,0.78,0.82,18
mch,0.84,0.82,0.64,0.74,0.37,0.29,0.53,0.46,0.27,0.22,0.42,0.37,0.11,0.11,0.8,0.81,19
mhw,0.71,0.73,0.24,0.28,0.17,0.1,0.02,0.31,0.21,0.15,0.11,0.3,0.16,0.16,0.75,0.76,19
smc,0.78,0.75,0.54,0.65,0.62,0.49,0.41,0.43,0.47,0.38,0.35,0.34,0.15,0.15,0.78,0.81,19
mch,0.83,0.81,0.31,0.44,0.05,0.13,0.32,0.14,0.08,0.13,0.26,0.13,0.11,0.11,0.77,0.78,20
mhw,0.71,0.72,0.32,0.35,0.2,0.17,0.27,0.52,0.2,0.15,0.26,0.45,0.16,0.16,0.76,0.79,20
smc,0.77,0.74,0.28,0.35,0.21,0.55,0.2,0.23,0.17,0.44,0.21,0.2,0.15,0.15,0.78,0.84,20
mch,0.84,0.82,0.46,0.6,0.23,0.14,0.42,0.29,0.19,0.13,0.34,0.24,0.11,0.11,0.79,0.79,21
mhw,0.68,0.72,0.25,0.3,0.31,0.17,0.12,0.31,0.24,0.18,0.15,0.28,0.16,0.16,0.74,0.77,21
smc,0.77,0.74,0.61,0.7,0.43,0.57,0.4,0.59,0.37,0.47,0.37,0.51,0.15,0.15,0.78,0.81,21
mch,0.84,0.81,0.49,0.6,0.34,0.21,0.44,0.27,0.25,0.17,0.38,0.25,0.11,0.11,0.78,0.77,22
mhw,0.7,0.72,0.37,0.44,0.18,0.07,0.34,0.55,0.19,0.13,0.3,0.45,0.16,0.16,0.75,0.8,22
smc,0.76,0.73,0.34,0.44,0.59,0.29,0.57,0.37,0.5,0.27,0.44,0.36,0.15,0.15,0.77,0.78,22
mch,0.84,0.82,0.44,0.6,0.07,0.07,0.26,0.26,0.1,0.11,0.23,0.23,0.11,0.11,0.77,0.77,23
mhw,0.66,0.7,0.36,0.44,0.39,0.22,0.21,0.38,0.3,0.2,0.2,0.33,0.16,0.16,0.73,0.78,23
smc,0.77,0.76,0.27,0.31,0.12,0.49,0.24,0.31,0.15,0.43,0.24,0.28,0.15,0.15,0.79,0.84,23
mch,0.84,0.81,0.23,0.31,0.16,0.08,0.15,0.13,0.15,0.1,0.16,0.14,0.11,0.11,0.78,0.73,24
mhw,0.69,0.74,0.36,0.45,0.44,0.22,0.06,0.27,0.3,0.19,0.12,0.24,0.16,0.16,0.74,0.77,24
smc,0.77,0.74,0.31,0.42,0.27,0.35,0.32,0.39,0.21,0.26,0.28,0.29,0.15,0.15,0.73,0.79,24
mch,0.83,0.81,0.58,0.7,0.28,0.21,0.4,0.32,0.23,0.19,0.37,0.3,0.11,0.11,0.78,0.76,25
mhw,0.7,0.71,0.38,0.47,0.1,0.09,0.29,0.55,0.16,0.14,0.25,0.45,0.16,0.16,0.76,0.79,25
smc,0.77,0.74,0.51,0.64,0.59,0.47,0.5,0.47,0.49,0.37,0.38,0.37,0.15,0.15,0.77,0.81,25
mch,0.84,0.82,0.47,0.59,0.3,0.17,0.45,0.26,0.23,0.16,0.36,0.23,0.11,0.11,0.79,0.8,26
mhw,0.7,0.73,0.28,0.32,0.2,0.14,0.18,0.31,0.2,0.17,0.19,0.3,0.16,0.16,0.74,0.76,26
smc,0.77,0.74,0.59,0.68,0.5,0.6,0.33,0.43,0.41,0.48,0.31,0.36,0.15,0.15,0.77,0.81,26
mch,0.84,0.82,0.32,0.45,0.15,0.1,0.21,0.2,0.16,0.11,0.21,0.19,0.11,0.11,0.77,0.76,27
mhw,0.71,0.75,0.27,0.34,0.31,0.18,0.01,0.28,0.24,0.17,0.09,0.24,0.16,0.16,0.76,0.75,27
smc,0.77,0.75,0.31,0.42,0.33,0.35,0.36,0.34,0.23,0.26,0.29,0.27,0.15,0.15,0.72,0.78,27
mch,0.83,0.8,0.19,0.2,0.29,0.03,0.34,-0.04,0.23,0.07,0.3,0.04,0.11,0.11,0.77,0.76,28
mhw,0.73,0.72,0.26,0.35,0.17,0.12,0.31,0.42,0.18,0.15,0.25,0.36,0.16,0.16,0.76,0.78,28
smc,0.78,0.76,0.38,0.49,0.23,0.57,0.39,0.47,0.2,0.42,0.29,0.33,0.15,0.15,0.77,0.82,28
mch,0.83,0.82,0.35,0.49,0.13,0.11,0.22,0.22,0.14,0.13,0.22,0.2,0.11,0.11,0.75,0.74,29
mhw,0.73,0.74,0.24,0.3,0.22,0.15,0.22,0.4,0.18,0.17,0.2,0.33,0.16,0.16,0.76,0.77,29
smc,0.76,0.73,0.31,0.4,0.32,0.37,0.32,0.29,0.25,0.28,0.29,0.26,0.15,0.15,0.72,0.76,29
mch,0.84,0.82,0.3,0.4,0.16,0.1,0.46,0.24,0.14,0.11,0.35,0.19,0.11,0.11,0.78,0.78,30
mhw,0.7,0.72,0.26,0.32,0.29,0.09,0.16,0.47,0.23,0.13,0.18,0.39,0.16,0.16,0.74,0.78,30
smc,0.8,0.75,0.17,0.15,0.14,0.47,0.25,0.31,0.15,0.37,0.21,0.26,0.15,0.15,0.79,0.79,30
mch,0.84,0.81,0.46,0.58,0.22,0.16,0.37,0.31,0.17,0.13,0.28,0.23,0.11,0.11,0.79,0.78,31
mhw,0.71,0.73,0.25,0.27,0.19,0.1,0.25,0.51,0.19,0.12,0.23,0.4,0.16,0.16,0.74,0.8,31
smc,0.8,0.75,0.26,0.29,0.18,0.38,0.24,0.25,0.17,0.31,0.23,0.21,0.15,0.15,0.79,0.81,31
mch,0.83,0.77,0.06,-0,0.26,-0.01,0.4,0.03,0.2,0.05,0.32,0.08,0.11,0.11,0.79,0.77,32
mhw,0.71,0.74,0.32,0.41,0.45,0.23,0.04,0.25,0.33,0.19,0.11,0.23,0.16,0.16,0.74,0.75,32
smc,0.78,0.77,0.24,0.33,0.18,0.48,0.29,0.36,0.18,0.33,0.26,0.27,0.15,0.15,0.76,0.82,32
mch,0.85,0.83,0.66,0.79,0.38,0.32,0.57,0.47,0.27,0.23,0.41,0.33,0.11,0.11,0.81,0.82,33
mhw,0.7,0.72,0.28,0.34,0.05,0.04,0.18,0.38,0.11,0.11,0.18,0.33,0.16,0.16,0.75,0.78,33
smc,0.77,0.74,0.45,0.55,0.61,0.35,0.55,0.49,0.49,0.3,0.45,0.4,0.15,0.15,0.76,0.78,33
mch,0.84,0.82,0.45,0.59,0.22,0.15,0.31,0.21,0.18,0.14,0.29,0.2,0.11,0.11,0.78,0.75,34
mhw,0.68,0.71,0.26,0.27,0.41,0.15,0.25,0.55,0.32,0.16,0.23,0.46,0.16,0.16,0.74,0.78,34
smc,0.76,0.73,0.6,0.71,0.42,0.51,0.35,0.37,0.36,0.44,0.29,0.32,0.15,0.15,0.78,0.82,34
mch,0.84,0.81,0.43,0.55,0.26,0.17,0.43,0.42,0.22,0.16,0.37,0.37,0.11,0.11,0.81,0.79,35
mhw,0.69,0.72,0.44,0.5,0.11,0.04,0.42,0.5,0.15,0.12,0.34,0.41,0.16,0.16,0.72,0.8,35
smc,0.79,0.76,0.51,0.64,0.37,0.33,0.14,0.21,0.27,0.22,0.15,0.22,0.15,0.15,0.81,0.83,35
mch,0.84,0.81,0.42,0.52,0.29,0.19,0.43,0.46,0.24,0.17,0.37,0.39,0.11,0.11,0.8,0.79,36
mhw,0.7,0.72,0.43,0.49,0.04,0.03,0.41,0.5,0.13,0.12,0.33,0.4,0.16,0.16,0.74,0.81,36
smc,0.8,0.77,0.47,0.58,0.25,0.33,0.13,0.16,0.23,0.23,0.15,0.19,0.15,0.15,0.81,0.83,36
mch,0.84,0.81,0.34,0.44,0.16,0.12,0.48,0.19,0.15,0.12,0.38,0.15,0.11,0.11,0.8,0.78,37
mhw,0.71,0.73,0.3,0.36,0.24,0.02,0.29,0.44,0.22,0.1,0.26,0.37,0.16,0.16,0.72,0.79,37
smc,0.77,0.74,0.66,0.76,0.48,0.57,0.39,0.4,0.36,0.44,0.32,0.34,0.15,0.15,0.8,0.81,37
mch,0.82,0.8,0.38,0.48,0.27,0.12,0.37,0.29,0.2,0.13,0.3,0.24,0.11,0.11,0.77,0.76,38
mhw,0.7,0.73,0.33,0.37,0.18,0.07,0.26,0.37,0.22,0.14,0.25,0.33,0.16,0.16,0.74,0.78,38
smc,0.8,0.76,0.33,0.34,0.24,0.43,0.1,0.05,0.26,0.33,0.15,0.11,0.15,0.15,0.8,0.82,38
mch,0.84,0.82,0.34,0.43,0.16,0.11,0.4,0.32,0.14,0.12,0.31,0.24,0.11,0.11,0.78,0.78,39
mhw,0.71,0.72,0.28,0.35,0.23,0.07,0.21,0.52,0.2,0.12,0.2,0.42,0.16,0.16,0.75,0.8,39
smc,0.8,0.75,0.18,0.17,0.13,0.51,0.25,0.27,0.14,0.4,0.21,0.24,0.15,0.15,0.79,0.79,39
mch,0.84,0.82,0.66,0.75,0.27,0.22,0.3,0.27,0.2,0.17,0.26,0.23,0.11,0.11,0.8,0.79,40
mhw,0.71,0.73,0.22,0.23,0.24,0.11,0.05,0.32,0.23,0.15,0.13,0.3,0.16,0.16,0.75,0.76,40
smc,0.77,0.75,0.76,0.84,0.62,0.6,0.51,0.52,0.5,0.47,0.43,0.44,0.15,0.15,0.76,0.78,40
mch,0.83,0.81,0.38,0.51,0.06,0.11,0.27,0.18,0.09,0.12,0.26,0.17,0.11,0.11,0.77,0.77,41
mhw,0.69,0.72,0.3,0.33,0.32,0.17,0.24,0.58,0.26,0.16,0.24,0.5,0.16,0.16,0.74,0.78,41
smc,0.77,0.74,0.39,0.48,0.28,0.58,0.23,0.26,0.24,0.47,0.21,0.23,0.15,0.15,0.79,0.84,41
mch,0.84,0.81,0.31,0.4,0.12,0.13,0.38,0.11,0.12,0.12,0.3,0.11,0.11,0.11,0.8,0.77,42
mhw,0.7,0.72,0.28,0.34,0.19,0.01,0.24,0.44,0.2,0.1,0.23,0.37,0.16,0.16,0.72,0.78,42
smc,0.77,0.74,0.61,0.73,0.45,0.56,0.34,0.38,0.34,0.43,0.28,0.33,0.15,0.15,0.8,0.81,42
mch,0.82,0.8,0.27,0.39,0.14,0.14,0.17,0.24,0.16,0.13,0.19,0.18,0.11,0.11,0.75,0.74,43
mhw,0.73,0.73,0.25,0.28,0.25,0.12,0.3,0.44,0.22,0.15,0.25,0.36,0.16,0.16,0.75,0.78,43
smc,0.76,0.75,0.23,0.28,0.3,0.38,0.32,0.3,0.25,0.28,0.27,0.25,0.15,0.15,0.7,0.75,43
mch,0.84,0.82,0.35,0.46,0.05,0.06,0.3,0.23,0.1,0.1,0.29,0.21,0.11,0.11,0.75,0.77,44
mhw,0.69,0.71,0.35,0.42,0.17,0.05,0.31,0.49,0.17,0.13,0.27,0.41,0.16,0.16,0.74,0.79,44
smc,0.78,0.75,0.55,0.68,0.56,0.47,0.34,0.37,0.41,0.36,0.28,0.31,0.15,0.15,0.79,0.82,44
mch,0.83,0.81,0.36,0.5,0.02,0.09,0.25,0.18,0.07,0.11,0.23,0.16,0.11,0.11,0.76,0.77,45
mhw,0.69,0.72,0.3,0.34,0.25,0.16,0.26,0.58,0.23,0.15,0.25,0.49,0.16,0.16,0.75,0.79,45
smc,0.77,0.74,0.29,0.36,0.23,0.6,0.23,0.25,0.19,0.47,0.22,0.21,0.15,0.15,0.79,0.84,45
mch,0.84,0.82,0.3,0.41,0.14,0.09,0.34,0.1,0.12,0.1,0.26,0.1,0.11,0.11,0.79,0.77,46
mhw,0.7,0.72,0.24,0.29,0.11,0.06,0.17,0.47,0.14,0.1,0.18,0.39,0.16,0.16,0.74,0.78,46
smc,0.78,0.74,0.37,0.49,0.28,0.49,0.22,0.32,0.22,0.38,0.2,0.27,0.15,0.15,0.8,0.8,46
mch,0.84,0.81,0.44,0.56,0.31,0.2,0.46,0.46,0.24,0.17,0.4,0.4,0.11,0.11,0.8,0.79,47
mhw,0.69,0.72,0.43,0.49,0.08,0.01,0.39,0.47,0.14,0.11,0.33,0.38,0.16,0.16,0.73,0.81,47
smc,0.8,0.77,0.49,0.61,0.33,0.33,0.13,0.17,0.26,0.22,0.15,0.2,0.15,0.15,0.81,0.83,47
mch,0.84,0.82,0.39,0.53,0.14,0.09,0.23,0.23,0.16,0.12,0.23,0.21,0.11,0.11,0.76,0.77,48
mhw,0.72,0.76,0.25,0.32,0.24,0.16,0.08,0.32,0.2,0.17,0.12,0.27,0.16,0.16,0.76,0.76,48
smc,0.78,0.76,0.37,0.5,0.22,0.36,0.29,0.24,0.16,0.3,0.24,0.2,0.15,0.15,0.78,0.81,48
mch,0.83,0.81,0.33,0.45,0.16,0.11,0.27,0.23,0.15,0.12,0.22,0.18,0.11,0.11,0.77,0.77,49
mhw,0.72,0.73,0.28,0.34,0.24,0.11,0.18,0.43,0.22,0.15,0.2,0.37,0.16,0.16,0.75,0.78,49
smc,0.78,0.77,0.15,0.12,0.27,0.34,0.22,0.11,0.2,0.28,0.22,0.14,0.15,0.15,0.75,0.78,49
mch,0.84,0.81,0.24,0.33,0.15,0.1,0.17,0.16,0.14,0.11,0.17,0.15,0.11,0.11,0.77,0.73,50
mhw,0.69,0.73,0.37,0.47,0.43,0.22,0.06,0.26,0.29,0.19,0.12,0.23,0.16,0.16,0.74,0.77,50
smc,0.77,0.74,0.32,0.42,0.28,0.35,0.33,0.4,0.21,0.27,0.29,0.31,0.15,0.15,0.72,0.79,50
mch,0.83,0.81,0.54,0.66,0.19,0.14,0.39,0.31,0.17,0.14,0.38,0.29,0.11,0.11,0.78,0.77,51
mhw,0.69,0.7,0.39,0.47,0.08,0.1,0.3,0.53,0.14,0.15,0.26,0.45,0.16,0.16,0.76,0.78,51
smc,0.77,0.74,0.52,0.66,0.63,0.48,0.52,0.46,0.5,0.37,0.4,0.38,0.15,0.15,0.76,0.8,51
mch,0.84,0.81,0.35,0.48,0,0.1,0.34,0.19,0.06,0.11,0.29,0.16,0.11,0.11,0.76,0.77,52
mhw,0.71,0.72,0.32,0.36,0.21,0.17,0.27,0.53,0.2,0.15,0.26,0.45,0.16,0.16,0.76,0.79,52
smc,0.77,0.74,0.31,0.39,0.25,0.58,0.2,0.26,0.2,0.45,0.2,0.22,0.15,0.15,0.78,0.84,52
mch,0.84,0.81,0.47,0.59,0.29,0.2,0.43,0.33,0.24,0.18,0.38,0.3,0.11,0.11,0.81,0.77,53
mhw,0.69,0.71,0.46,0.55,0.14,0.06,0.4,0.52,0.16,0.13,0.32,0.41,0.16,0.16,0.72,0.79,53
smc,0.79,0.76,0.48,0.63,0.4,0.32,0.2,0.31,0.29,0.22,0.17,0.26,0.15,0.15,0.79,0.82,53
mch,0.86,0.83,0.38,0.52,0.3,0.12,0.5,0.39,0.21,0.12,0.37,0.28,0.11,0.11,0.8,0.78,54
mhw,0.69,0.73,0.43,0.49,-0.02,0.04,0.1,0.31,0.06,0.08,0.14,0.26,0.16,0.16,0.76,0.79,54
smc,0.77,0.74,0.54,0.65,0.29,0.38,0.13,0.27,0.23,0.31,0.16,0.26,0.15,0.15,0.79,0.81,54
mch,0.85,0.82,0.39,0.51,0.1,0.07,0.38,0.22,0.14,0.11,0.34,0.22,0.11,0.11,0.76,0.78,55
mhw,0.68,0.7,0.35,0.4,0.25,0.06,0.37,0.43,0.21,0.14,0.31,0.37,0.16,0.16,0.71,0.77,55
smc,0.77,0.75,0.44,0.56,0.59,0.34,0.44,0.43,0.45,0.27,0.36,0.37,0.15,0.15,0.76,0.8,55
mch,0.84,0.81,0.3,0.41,0.16,0.1,0.31,0.05,0.13,0.1,0.24,0.09,0.11,0.11,0.79,0.76,56
mhw,0.7,0.72,0.26,0.31,0.14,0.05,0.19,0.47,0.16,0.1,0.2,0.39,0.16,0.16,0.73,0.78,56
smc,0.78,0.74,0.37,0.48,0.27,0.47,0.22,0.31,0.22,0.37,0.2,0.27,0.15,0.15,0.8,0.8,56
mch,0.83,0.81,0.31,0.45,0.11,0.13,0.18,0.26,0.14,0.13,0.2,0.21,0.11,0.11,0.75,0.74,57
mhw,0.71,0.74,0.24,0.26,0.26,0.15,0.09,0.36,0.19,0.16,0.13,0.3,0.16,0.16,0.75,0.78,57
smc,0.76,0.74,0.35,0.46,0.32,0.36,0.39,0.4,0.24,0.26,0.32,0.31,0.15,0.15,0.71,0.75,57
mch,0.83,0.82,0.34,0.47,0.15,0.13,0.23,0.29,0.16,0.14,0.21,0.22,0.11,0.11,0.75,0.74,58
mhw,0.73,0.73,0.22,0.25,0.24,0.12,0.24,0.45,0.21,0.16,0.22,0.36,0.16,0.16,0.76,0.78,58
smc,0.76,0.74,0.27,0.33,0.3,0.39,0.32,0.29,0.24,0.29,0.28,0.25,0.15,0.15,0.72,0.76,58
mch,0.83,0.81,0.58,0.7,0.29,0.22,0.4,0.34,0.24,0.19,0.38,0.31,0.11,0.11,0.79,0.76,59
mhw,0.69,0.71,0.42,0.52,0.09,0.13,0.3,0.54,0.15,0.17,0.26,0.45,0.16,0.16,0.76,0.78,59
smc,0.78,0.75,0.5,0.63,0.59,0.46,0.49,0.46,0.49,0.36,0.38,0.37,0.15,0.15,0.78,0.81,59
mch,0.84,0.82,0.38,0.51,0.11,0.12,0.31,0.19,0.12,0.12,0.28,0.18,0.11,0.11,0.76,0.77,60
mhw,0.68,0.71,0.26,0.29,0.43,0.2,0.22,0.59,0.33,0.18,0.22,0.49,0.16,0.16,0.73,0.77,60
smc,0.77,0.74,0.4,0.49,0.21,0.54,0.21,0.3,0.21,0.45,0.19,0.25,0.15,0.15,0.79,0.84,60
mch,0.84,0.82,0.37,0.51,0.07,0.1,0.33,0.28,0.09,0.12,0.28,0.23,0.11,0.11,0.77,0.78,61
mhw,0.68,0.71,0.26,0.3,0.4,0.2,0.19,0.51,0.31,0.18,0.2,0.44,0.16,0.16,0.73,0.75,61
smc,0.77,0.74,0.33,0.39,0.13,0.54,0.22,0.29,0.17,0.45,0.2,0.24,0.15,0.15,0.79,0.84,61
mch,0.85,0.82,0.54,0.67,0.4,0.28,0.7,0.44,0.28,0.21,0.54,0.34,0.11,0.11,0.81,0.8,62
mhw,0.7,0.72,0.31,0.36,0.12,0.01,0.29,0.44,0.15,0.09,0.24,0.36,0.16,0.16,0.74,0.78,62
smc,0.77,0.75,0.36,0.44,0.6,0.26,0.52,0.47,0.47,0.23,0.41,0.38,0.15,0.15,0.78,0.79,62
mch,0.84,0.82,0.4,0.52,0.31,0.16,0.38,0.21,0.22,0.14,0.3,0.18,0.11,0.11,0.79,0.77,63
mhw,0.7,0.72,0.27,0.3,0.2,0.16,0.26,0.37,0.19,0.17,0.24,0.33,0.16,0.16,0.74,0.77,63
smc,0.77,0.74,0.57,0.66,0.45,0.59,0.28,0.36,0.37,0.49,0.27,0.32,0.15,0.15,0.78,0.81,63
mch,0.84,0.82,0.42,0.57,0.07,0.09,0.39,0.28,0.1,0.11,0.32,0.23,0.11,0.11,0.77,0.78,64
mhw,0.66,0.7,0.31,0.38,0.4,0.23,0.23,0.38,0.29,0.19,0.21,0.33,0.16,0.16,0.72,0.75,64
smc,0.76,0.74,0.35,0.42,0.13,0.51,0.22,0.43,0.17,0.44,0.23,0.36,0.15,0.15,0.79,0.83,64
mch,0.84,0.81,0.44,0.55,0.3,0.19,0.47,0.38,0.25,0.18,0.4,0.33,0.11,0.11,0.81,0.79,65
mhw,0.7,0.72,0.48,0.57,0.07,0.08,0.41,0.54,0.15,0.14,0.32,0.42,0.16,0.16,0.74,0.8,65
smc,0.8,0.76,0.51,0.64,0.32,0.38,0.12,0.18,0.27,0.26,0.14,0.19,0.15,0.15,0.81,0.83,65
mch,0.83,0.82,0.4,0.52,0.32,0.17,0.38,0.19,0.22,0.14,0.29,0.18,0.11,0.11,0.79,0.78,66
mhw,0.7,0.72,0.24,0.25,0.24,0.14,0.24,0.39,0.23,0.17,0.24,0.35,0.16,0.16,0.73,0.76,66
smc,0.78,0.74,0.6,0.68,0.45,0.58,0.25,0.27,0.38,0.48,0.26,0.25,0.15,0.15,0.78,0.82,66
mch,0.84,0.82,0.46,0.6,0.18,0.13,0.32,0.27,0.16,0.12,0.27,0.24,0.11,0.11,0.78,0.79,67
