vegtype,auc_025_val,auc_100_val,tss,tss_ppt_025,tss_ppt_100,tss_pptr_025,tss_pptr_100,prop_present_100,prop_present_obs,auc_ppt,auc_ptr,fold
mch,0.84,0.81,0.5,0.29,0.17,0.43,0.47,0.11,0.11,0.8,0.79,1
mhw,0.7,0.73,0.51,0.08,0.08,0.4,0.59,0.16,0.16,0.75,0.82,1
smc,0.8,0.77,0.57,0.21,0.32,0.11,0.14,0.15,0.15,0.81,0.82,1
