vegtype,auc_025_val,auc_100_val,prop_same,tss,tss_ppt_025,tss_ppt_100,tss_pptr_025,tss_pptr_100,prop_same_ppt_025,prop_same_ppt_100,prop_same_pptr_025,prop_same_pptr_100,auc_ppt,auc_ptr
mch,0.84,0.81,0.87,0.87,0.69,0.64,0.74,0.74,0.71,0.68,0.75,0.76,0.8,0.79
mhw,0.7,0.73,0.89,0.88,0.62,0.48,0.64,0.54,0.75,0.71,0.75,0.72,0.75,0.82
smc,0.8,0.77,0.87,0.86,0.54,0.47,0.52,0.46,0.64,0.58,0.58,0.54,0.81,0.82
