vegtype,auc_025_val,auc_100_val,prop_same,tss,tss_ppt_025,tss_ppt_100,tss_pptr_025,tss_pptr_100,prop_same_ppt_025,prop_same_ppt_100,prop_same_pptr_025,prop_same_pptr_100,auc_ppt,auc_ptr
mch,0.84,0.81,0.85,0.88,0.6,0.52,0.68,0.68,0.61,0.54,0.66,0.65,0.8,0.79
mhw,0.7,0.73,0.79,0.78,0.71,0.53,0.63,0.52,0.74,0.67,0.69,0.65,0.75,0.82
smc,0.8,0.77,0.82,0.85,0.55,0.47,0.44,0.4,0.55,0.49,0.45,0.43,0.81,0.82
