vegtype,auc_025_val,auc_100_val,prop_same,tss,tss_ppt_025,tss_ppt_100,tss_pptr_025,tss_pptr_100,prop_same_ppt_025,prop_same_ppt_100,prop_same_pptr_025,prop_same_pptr_100,auc_ppt,auc_ptr
mch,0.84,0.81,0.34,0.56,0.34,0.12,0.5,0.46,0.12,0.07,0.35,0.37,0.8,0.79
mhw,0.7,0.73,0.58,0.62,0.53,0.34,0.25,0.34,0.55,0.42,0.31,0.37,0.75,0.82
smc,0.8,0.77,0.47,0.58,0.23,0.23,0.12,0.2,0.23,0.23,0.17,0.22,0.81,0.82
