vegtype,auc_ppt,auc_ptr,tss_ppt_100,tss_ppt_025,tss_pptr_100,tss_pptr_025
mch,0.8 (NA),0.79 (NA),0.17 (NA),0.29 (NA),0.47 (NA),0.43 (NA)
mhw,0.75 (NA),0.82 (NA),0.08 (NA),0.08 (NA),0.59 (NA),0.4 (NA)
smc,0.81 (NA),0.82 (NA),0.32 (NA),0.21 (NA),0.14 (NA),0.11 (NA)
