vegtype,auc_025_val,auc_100_val,prop_same,tss,tss_ppt_025,tss_ppt_100,tss_pptr_025,tss_pptr_100,prop_same_ppt_025,prop_same_ppt_100,prop_same_pptr_025,prop_same_pptr_100,prop_present_100,prop_present_obs,auc_ppt,auc_ptr
mch,0.84,0.81,0.56,0.73,0.39,0.26,0.55,0.51,0.3,0.24,0.4,0.42,0.19,0.11,0.8,0.79
mhw,0.7,0.73,0.69,0.68,0.65,0.47,0.45,0.34,0.67,0.57,0.51,0.45,0.45,0.16,0.75,0.82
smc,0.8,0.77,0.66,0.71,0.48,0.39,0.33,0.34,0.44,0.37,0.33,0.34,0.28,0.15,0.81,0.82
